poc,N2013,N2025,dN,Nbar
ABY0111,1515.0,1705.0,190.0,1610.0
ADD0111,11415.0,,,
ADD0661,25847.0,,,
ALB0331,33572.0,52498.0,18926.0,43035.0
ALB1101,44129.0,26258.0,-17871.0,35194.0
ANA0111,1.0,1.0,0.0,1.0
APS0111,158.0,163.0,5.0,160.0
ARI1102,,4919.0,,
ASB0331,10030.0,,,
ASB0661,7969.0,21268.0,13299.0,14618.0
ASY0111,,3302.0,,
ATI2201,1.0,1.0,0.0,1.0
ATU1101,92.0,,,
BAL0331,9091.0,9586.0,495.0,9339.0
BLN0331,24538.0,26804.0,2266.0,25671.0
BOB0331,8968.0,,,
BOB1101,18425.0,37359.0,18934.0,27892.0
BPD1101,626.0,790.0,164.0,708.0
BPE0331,33500.0,29758.0,-3742.0,31629.0
BRB0331,4231.0,6073.0,1842.0,5152.0
BRK0331,11893.0,12932.0,1040.0,12412.0
BRY0111,12108.0,,,
BRY0661,39093.0,57264.0,18170.0,48178.0
CBG0111,11138.0,13136.0,1998.0,12137.0
CLH0111,174.0,270.0,96.0,222.0
CML0331,10902.0,17804.0,6903.0,14353.0
COL0111,125.0,139.0,14.0,132.0
CPK0111,4364.0,9394.0,5030.0,6879.0
CPK0331,44237.0,45653.0,1416.0,44945.0
CST0331,20044.0,29706.0,9662.0,24875.0
CUL0331,3142.0,3694.0,552.0,3418.0
CUL0661,2655.0,2935.0,280.0,2795.0
CYD0331,6738.0,7888.0,1150.0,7313.0
DAR0111,5823.0,,,
DOB0331,2626.0,3053.0,428.0,2840.0
DVK0111,5324.0,5414.0,90.0,5369.0
EDG0331,16165.0,16702.0,536.0,16433.0
EDN0331,1719.0,1755.0,36.0,1737.0
FHL0331,15370.0,16732.0,1362.0,16051.0
FKN0331,12344.0,20234.0,7890.0,16289.0
GFD0331,15494.0,20535.0,5041.0,18014.0
GIS0501,20713.0,,,
GLN0332,10620.0,12442.0,1822.0,11531.0
GOR0331,9615.0,9881.0,266.0,9748.0
GYM0661,4334.0,4549.0,215.0,4442.0
GYT0331,6550.0,7850.0,1300.0,7200.0
HAM0111,11841.0,10980.0,-861.0,11411.0
HAM0331,43086.0,54896.0,11810.0,48991.0
HAY0111,6477.0,7094.0,618.0,6786.0
HAY0331,5067.0,6420.0,1353.0,5743.0
HEN0331,43268.0,51628.0,8360.0,47448.0
HEP0331,46916.0,54396.0,7480.0,50656.0
HIN0331,11004.0,7396.0,-3608.0,9200.0
HKK0661,4272.0,4817.0,544.0,4545.0
HLY0331,7698.0,11405.0,3707.0,9552.0
HOB1101,46.0,12620.0,12574.0,6333.0
HOR0331,3449.0,3739.0,290.0,3594.0
HOR0661,811.0,792.0,-19.0,802.0
HTI0331,11230.0,11718.0,488.0,11474.0
HTU0331,,2056.0,,
HUI0331,6836.0,10492.0,3656.0,8664.0
HWA0331,9120.0,9452.0,333.0,9286.0
HWB0331,25970.0,39599.0,13629.0,32785.0
HWB0332,11221.0,,,
INV0331,26654.0,28167.0,1513.0,27410.0
INV0661,,1.0,,
ISL0331,12684.0,16576.0,3892.0,14630.0
ISL0661,58165.0,147777.0,89612.0,102971.0
KAI0111,8626.0,10444.0,1818.0,9535.0
KAW0111,2930.0,3099.0,170.0,3014.0
KBY0661,971.0,977.0,6.0,974.0
KEN0331,26785.0,,,
KIK0111,1061.0,1142.0,81.0,1102.0
KIN0112,1.0,1.0,0.0,1.0
KIN0331,6545.0,6763.0,218.0,6654.0
KMO0331,8028.0,13752.0,5725.0,10890.0
KOE1101,30743.0,34800.0,4057.0,32771.0
KPU0661,23408.0,26404.0,2996.0,24906.0
KUM0661,526.0,693.0,167.0,610.0
KWA0111,5712.0,5868.0,156.0,5790.0
LTN0331,16074.0,23608.0,7535.0,19841.0
MCH0111,853.0,876.0,23.0,865.0
MER0331,701.0,,,
MGM0331,4269.0,4355.0,86.0,4312.0
MHO0331,16384.0,18211.0,1826.0,17298.0
MLG0111,7060.0,8110.0,1050.0,7585.0
MLG0331,15370.0,13230.0,-2140.0,14300.0
MLN0661,2288.0,,,
MNG0331,24736.0,29212.0,4476.0,26974.0
MNG1101,,2.0,,
MOT0111,7176.0,,,
MPE0331,6878.0,,,
MPE1101,14907.0,45988.0,31082.0,30448.0
MPI0661,3347.0,,,
MST0331,17048.0,19724.0,2676.0,18386.0
MTM0331,22111.0,23635.0,1524.0,22873.0
MTN0331,5976.0,7230.0,1253.0,6603.0
MTO0331,8643.0,11287.0,2644.0,9965.0
MTR0331,2763.0,2750.0,-13.0,2757.0
NMA0331,14552.0,16232.0,1680.0,15392.0
NPK0331,870.0,833.0,-37.0,851.0
NPL0331,8997.0,,,
NSY0331,2405.0,2556.0,152.0,2480.0
NWD0661,,2213.0,,
OAM0331,10636.0,11232.0,596.0,10934.0
OKN0111,3060.0,3420.0,359.0,3240.0
ONG0331,4508.0,4489.0,-19.0,4499.0
OPK0331,3031.0,3116.0,85.0,3073.0
ORO1101,2378.0,2166.0,-211.0,2272.0
ORO1102,1698.0,2805.0,1107.0,2252.0
OTA0221,18823.0,20087.0,1264.0,19455.0
OTI0111,39.0,44.0,5.0,42.0
OWH0111,5106.0,6091.0,985.0,5599.0
PAK0331,39977.0,50635.0,10658.0,45306.0
PAL0331,3279.0,,,
PAO1101,6328.0,7003.0,675.0,6666.0
PEN0221,16100.0,9399.0,-6701.0,12750.0
PEN0331,68550.0,80778.0,12228.0,74664.0
PEN1101,28321.0,29079.0,758.0,28700.0
PNI0331,6823.0,7269.0,447.0,7046.0
PRM0331,26558.0,29400.0,2841.0,27979.0
RDF0331,22206.0,31454.0,9248.0,26830.0
RFN1101,725.0,844.0,119.0,785.0
RFN1102,572.0,578.0,6.0,575.0
ROS0221,44962.0,48154.0,3192.0,46558.0
ROS1101,22427.0,24076.0,1649.0,23252.0
ROT0111,10546.0,11477.0,932.0,11011.0
ROT0331,12216.0,12314.0,98.0,12265.0
SBK0331,15109.0,,,
