site,Nbar,dQ,dN,company
BAL0331,9338.625,1.5550000000000002,494.75,OTPO
BLN0331,25671.458333333336,6.827,2266.083333333332,MARL
BOB1101,27892.125,13.984,18934.25,COUP
BPD1101,708.1666666666667,-0.132,163.83333333333337,ALPE
BRK0331,12412.458333333334,4.33,1039.75,POCO
CBG0111,12136.875,3.58,1997.75,WAIP
CML0331,14353.125,4.336,6902.583333333334,DUNE
CST0331,24875.0,8.832,9661.666666666664,POCO
CUL0331,3418.1666666666665,1.207,552.0,MPOW
CUL0661,2794.75,0.694,280.0,MPOW
DVK0111,5369.291666666666,1.1280000000000001,89.58333333333303,SCAN
EDG0331,16433.333333333332,4.874,536.4999999999982,HEDL
EDN0331,1737.2083333333333,-2.7619999999999996,35.75,TPCO
FKN0331,16288.791666666668,9.171,7890.250000000002,DUNE
GFD0331,18014.125,5.51,5040.916666666666,CKHK
GOR0331,9747.708333333332,2.572,266.08333333333394,TPCO
GYM0661,4441.958333333334,0.7060000000000001,214.91666666666697,WPOW
GYT0331,7200.458333333334,1.467,1300.083333333333,POCO
HAM0111,11410.541666666666,2.6879999999999997,-861.25,WAIK
HAM0331,48991.20833333333,16.825000000000003,11810.083333333336,WAIK
HAY0111,6785.541666666667,1.234,617.75,CKHK
HAY0331,5743.25,0.8300000000000001,1353.333333333334,CKHK
HIN0331,9200.041666666666,3.992,-3607.749999999999,POCO
HKK0661,4544.666666666667,-2.1630000000000003,544.5,WPOW
HLY0331,9551.791666666666,0.5819999999999999,3706.916666666667,WAIK
HOR0331,3594.25,1.123,290.0,ORON
HOR0661,801.6666666666667,1.6030000000000002,-19.16666666666663,ORON
HWA0331,9286.041666666668,3.954,332.58333333333394,POCO
INV0331,27410.458333333332,3.896,1512.75,ELIN
ISL0331,14630.333333333334,6.5200000000000005,3891.666666666668,ORON
KAI0111,9534.833333333334,2.2439999999999998,1817.5,MPOW
KIK0111,1101.9583333333335,0.22199999999999998,81.08333333333326,TASM
KIN0331,6654.083333333334,2.096,217.83333333333303,POCO
KMO0331,10890.0,2.7,5724.666666666667,POCO
KPU0661,24906.0,6.354999999999999,2996.1666666666642,POCO
KWA0111,5790.083333333334,2.298,155.83333333333303,CKHK
MGM0331,4312.083333333334,0.02300000000000002,85.83333333333303,POCO
MLG0111,7584.708333333334,2.41,1050.416666666667,CKHK
MLG0331,14300.083333333332,1.8619999999999997,-2140.166666666666,CKHK
MNG0331,26974.208333333332,8.249,4475.75,VECT
MST0331,18385.916666666664,5.4239999999999995,2675.833333333332,POCO
MTM0331,22872.958333333336,5.454000000000001,1524.4166666666679,POCO
MTN0331,6603.0,3.132,1253.166666666666,POCO
MTR0331,2756.8333333333335,0.6699999999999999,-13.0,POCO
NPK0331,851.2916666666667,0.334,-37.41666666666663,LINE
NSY0331,2480.458333333333,-1.02,151.58333333333348,OTPO
OAM0331,10933.791666666666,2.097,595.75,WATA
OKN0111,3240.0,0.308,359.0,LINE
OPK0331,3073.4166666666665,0.32,85.0,POCO
ORO1101,2272.0,0.25,-211.33333333333303,BUEL
ORO1102,2251.666666666667,0.07199999999999995,1107.3333333333335,BUEL
OTA0221,19455.208333333332,0.05799999999999983,1263.75,VECT
OWH0111,5598.75,1.348,984.6666666666661,HAWK
PAK0331,45305.875,11.948,10657.75,VECT
PAO1101,6665.541666666667,2.936,675.25,POCO
PNI0331,7045.875,1.676,446.58333333333394,CKHK
PRM0331,27978.916666666664,7.6979999999999995,2841.166666666668,ELEC
RFN1102,575.0416666666667,1.796,6.083333333333371,WPOW
ROS0221,46558.291666666664,10.219999999999999,3191.75,VECT
ROS1101,23251.708333333332,11.733999999999998,1649.25,VECT
ROT0111,11011.416666666666,2.4610000000000003,931.5,HAWK
ROT0331,12264.708333333332,4.32,98.41666666666606,HAWK
SFD0331,8373.291666666668,1.248,345.41666666666606,POCO
STK0331,36785.75,8.522,5499.1666666666715,NELS
STU0111,3140.375,1.1019999999999999,182.25,ALPE
SVL0331,33619.29166666667,8.972999999999999,10946.583333333336,VECT
TAK0331,46498.0,5.1259999999999994,12039.166666666672,VECT
TGA0111,10679.333333333332,2.24,-825.8333333333339,POCO
TGA0331,29973.0,8.802999999999999,5588.833333333336,POCO
TIM0111,17922.458333333336,3.857,991.0833333333321,ALPE
TKA0331,901.4166666666666,0.706,283.83333333333326,ALPE
TKR0331,32866.375,7.832,4758.916666666668,CKHK
TKU0331,4844.25,0.78,361.83333333333394,LINE
TMI0331,11201.833333333334,7.439,5967.0,POCO
TMK0331,6798.875,3.668,500.41666666666606,ALPE
TMU0111,14304.541666666668,1.03,2282.083333333334,WAIP
TWZ0331,2284.8333333333335,0.6960000000000001,1223.5000000000002,ALPE
UHT0331,10995.291666666668,3.182,838.5833333333339,CKHK
WAI0111,4361.041666666667,0.414,229.75,HEDL
WDV0111,1413.8333333333335,0.31000000000000005,52.66666666666674,SCAN
WEL0331,15303.083333333332,4.506,3134.333333333334,VECT
WGN0331,9894.0,2.522,381.8333333333321,POCO
WHU0331,6112.625,3.404,1141.583333333334,POCO
WIR0331,20047.375,-0.25299999999999967,3478.75,VECT
WKO0331,16296.625,2.2529999999999997,1717.916666666666,POCO
WPR0331,3562.0833333333335,0.458,223.5,MPOW
WPR0661,2498.333333333333,-0.6930000000000001,308.3333333333335,MPOW
WPW0331,8517.916666666668,1.6009999999999998,866.3333333333339,CHBP
WVY0111,1348.75,0.22599999999999998,34.833333333333485,POCO
KBY0661+2,974.125,-0.23699999999999966,5.5833333333332575,ORON
HTI0331+1101,11473.833333333332,2.686,487.83333333333394,LINE
ALB+WRD,96533.125,21.583000000000002,23513.75,VECT
HEN+HEP,98104.375,18.676000000000002,15839.916666666672,VECT
PEN0221+0331,87413.91666666667,24.054000000000002,5527.5,VECT
CPK0111+0331,51823.958333333336,12.852,6446.0833333333285,CKHK
HWB+SDN,51894.95833333333,6.089999999999996,18127.583333333336,DUNE
