gxp,edb,r2_qp,resid_std,decoupled,steady_dg,net_exporter,contaminated
ABY0111,ALPE,0.6293515769354474,0.42093271524525244,False,False,True,True
ADD0111,ORON,,,False,False,False,False
ADD0661,ORON,,,False,False,False,False
AHA0111,WPOW,,,False,False,False,False
ALB0331,UNET,,,False,False,False,False
ALB1101,UNET,,,False,False,False,False
ANA0111,LINE,,,False,False,True,True
APS0111,ORON,0.13147801323301456,0.006490425355509071,False,False,True,True
ARI1102,POCO,,,False,False,True,True
ASB0331,EASH,0.5179714487445917,0.72346128604645,False,True,True,True
ASB0661,EASH,0.8203421512740801,7.413723271637003,False,True,False,True
ASY0111,MPOW,,,False,False,False,False
ATI0111,TRUS,,,False,False,True,True
ATI2201,MRPL,,,False,False,True,True
ATU1101,WPOW,0.3907828172912824,0.144449833668322,False,False,True,True
BAL0331,OTPO,0.00407591398244278,2.3033588196845107,False,False,False,False
BDE0111,RAYN,0.8009997836772487,0.690872829284887,False,False,False,False
BLN0331,MARL,0.41631147940451163,2.8330274891386655,False,False,False,False
BOB0331,COUP,0.28219225949544813,0.5555287965215977,False,False,True,True
BOB1101,COUP,0.2970284099534837,3.294164265880981,False,False,False,False
BPD1101,ALPE,0.8951398756841473,0.35114833951505575,False,False,False,False
BPE0331,POCO,0.02201483733539522,6.3047318136860335,True,False,False,True
BPE0551,NZRN,0.6248541632403105,0.46312719883044745,False,False,True,True
BPT1101,WATA,0.90891162762894,0.3835810956776149,False,False,True,True
BRB0331,NPOW,0.8508853346079519,1.1904798841738138,False,True,False,True
BRK0331,POCO,0.600458027387833,0.7908598379237606,False,False,False,False
BRY0111,ORON,,,False,False,False,False
BRY0661,ORON,0.05319964376181019,8.251725923219889,True,False,False,True
CBE0331,EASH,,,False,True,False,True
CBG0111,WAIP,0.4204234872061191,1.4566813416871147,False,False,False,False
CLH0111,ORON,0.04749695937502152,0.027325872000108078,False,False,True,True
CML0331,DUNE,0.2665325482693496,2.1987502561977665,False,False,False,False
COL0111,ORON,0.283365491101343,0.010900251217443806,False,False,True,True
CPK0111,UNET,,,False,False,False,False
CPK0331,UNET,,,False,False,False,False
CST0111,POCO,,,False,False,False,False
CST0331,POCO,0.3366150071764642,1.8612184623242722,False,False,False,False
CUL0331,MPOW,0.7202350249172433,0.9227115075515502,False,False,False,False
CUL0661,MPOW,0.24299819641706966,0.420425967078981,False,False,False,False
CYD0331,DUNE,,,False,False,True,True
DAR0111,NPOW,,,False,True,False,True
DOB0331,WPOW,0.01259723669285373,0.7589558525634191,False,False,True,True
DVK0111,SCAN,0.49684897412532436,0.5713039337702104,False,False,False,False
EDG0331,HEDL,0.5116781229288156,2.1054202198186576,False,False,False,False
EDN0331,TPCO,0.9539495735059638,0.6354249845018398,False,False,False,False
FHL0331,HAWK,0.6189526552752276,1.9024318754645089,False,True,False,True
FKN0331,DUNE,0.3171099488420267,1.649685084816581,False,False,False,False
GFD0331,UNET,,,False,False,False,False
GIS0111,EAST,,,False,False,True,True
GIS0501,EAST,,,False,False,False,False
GLN0331,NZST,0.19809232544305888,5.587818095675075,False,False,False,False
GLN0332,NZST,,,False,False,True,True
GOR0331,TPCO,0.5091069109204992,1.2851759875226123,False,False,False,False
GYM0661,WPOW,0.14059794845688411,0.5494386563966064,False,False,False,False
GYT0331,POCO,0.0887242303016823,0.9399214912001493,False,False,False,False
HAM0111,WAIK,0.20287413765009177,0.5960150832097989,False,False,False,False
